ilju_a,ilju_b,케미_점수,케미_타입,종합_분석,연애_스타일,주의_포인트,럭키_데이트,생성시각
甲子(갑자),甲寅(갑인),82,파워 성장형 케미,"큰 나무 두 그루가 만나 숲을 이루는 웅장한 세계관! 갑자님의 유연한 감수성이 갑인님의 불도저 같은 추진력에 물을 주니 시너지가 미쳤어요. 서로 같은 갑(甲)이라 말이 너무 잘 통하고, 같이 있으면 세상 무서울 게 없는 무적의 텐션입니다. 함께 목표를 향해 달려갈 때 찐사랑 텐션이 폭발하는 조합!",서로의 커리어를 응원하는 갓생 커플 바이브! 힙한 러닝 크루에 참여하거나 새로운 취미를 정복하며 에너지를 발산하는 액티브한 데이트가 주를 이뤄요.,둘 다 리더 기질이 넘쳐서 가끔 '누구 말이 맞나' 배틀이 붙을 수 있어요. '져주는 게 이기는 것'이라는 마인드로 유연함 한 스푼만 더하면 갓벽한 소울메이트!,"테니스 레슨, 교외 드라이브, 스포츠 경기 직관",2026-03-06 23:59:11
甲子(갑자),己未(기미),85,자석 밀당 케미,하늘의 기운이 찰떡같이 붙는 '갑기합' 커플! 갑자님의 순수한 수기운과 기미님의 단단한 대지가 만나 안정감 미쳤어요. 갑자님이 감성 한 스푼 던지면 기유님이 현실적인 든든함으로 받아주는 텐션! 서로 다른 매력에 자석처럼 끌리는 소울메이트 각이라 시너지가 폭발하는 조합입니다.,은근한 소유욕과 깊은 신뢰가 공존하는 찐사랑 바이브! 평소엔 각자 갓생 살다가 데이트할 땐 서로에게만 집중하며 딥한 대화를 나누는 어른스러운 분위기예요.,"가끔은 서로의 고집이 충돌할 수 있지만, 그건 서로를 너무 아끼는 마음 때문! 솔직한 대화로 서운함만 털어내면 연애 유지력 만렙 찍기 쌉가능입니다.","프라이빗 와인바, 심야 영화관, 호캉스",2026-03-06 23:59:50
乙丑(을축),甲子(갑자),95,갓벽 힐링 케미,여린 꽃 을축님과 든든한 나무 갑자님이 만난 역대급 텐션! 자(子)수와 축(丑)토가 만나 찰떡처럼 붙는 '자축합' 세계관이라 서로를 보는 눈에서 꿀이 뚝뚝 떨어져요. 갑자님이 따뜻한 서포터가 되어주면 을축님이 예쁘게 피어나는 구조라 정서적 안정감이 미쳤습니다. 소울메이트 각 제대로 잡힌 조합!,포근하고 몽글몽글한 바이브 그 자체. 서로의 일상을 공유하며 소소한 행복을 즐기는 힐링 연애의 정석이에요. 같이만 있어도 충전되는 기분!,둘 다 생각이 깊어서 가끔 속마음을 숨길 때가 있어요. '나 이거 서운해!'라고 귀엽게 티 내는 연습만 하면 찐사랑 롱런 쌉가능!,"식물원 카페, 전시회 관람, 빔프로젝터 홈무비",2026-03-07 00:00:33
乙丑(을축),己巳(기사),94,찰떡 시너지,을축님의 섬세한 감성과 기사님의 스마트한 열정이 만난 갓벽 조합! 축(丑)토와 사(巳)화가 만나 끈끈하게 엮이는 에너지라 서로를 채워주는 속도가 미쳤어요. 을축님이 든든한 버팀목이 되어주면 기사님이 화려하게 꽃피우는 그림이라 보면 볼수록 소울메이트 각 제대로 나오는 텐션 세계관입니다.,서로의 취향을 리스펙하며 즐기는 럭셔리 힐링 바이브! 핫플 웨이팅도 즐거운 대화로 순삭시키는 케미 폭발 커플이에요.,둘 다 가끔은 은근한 고집이 발동할 수 있어요. '나 오늘 이랬어~'라며 사소한 감정도 투명하게 공유하면 찐사랑 롱런 쌉가능!,"와인 바, 테라스 카페, 도심 호캉스",2026-03-07 00:01:17
乙丑(을축),甲戌(갑술),78,성장형 커플,끈기 만렙 을축님과 카리스마 갑술님이 만난 에너지 넘치는 세계관! 을축님의 섬세함이 갑술님의 든든한 추진력과 만나면 시너지 미쳤다 소리 절로 나와요. 서로 다른 매력이 은근한 텐션을 유발해서 같이 있으면 지루할 틈 없는 자극 뿜뿜 조합! 함께 고난을 극복하며 레벨업하는 찐사랑 서사 각이에요.,서로의 갓생을 응원하는 쿨하고 힙한 바이브! 평소엔 각자 열일하다가 만나면 딥한 대화로 스트레스 날리는 어른 연애의 정석이에요.,둘 다 은근한 고집이 있어서 밀당 천재 모드가 발동될 수 있어요. '져주는 게 이기는 것'이라는 마인드로 유연함 한 스푼만 더하면 케미 폭발!,"클라이밍, 야간 드라이브, 성수동 팝업",2026-03-07 00:01:59
乙丑(을축),己卯(기묘),82,힐링 시너지,섬세한 을축님과 포근한 기묘님이 만난 몽글몽글한 세계관! 을축님의 단단한 내면을 기묘님의 부드러운 에너지가 싹 감싸주는 그림이에요. 서로의 빈틈을 채워주는 보완형 텐션이라 같이 있을 때 멘탈 케어 제대로 되는 소울메이트 각! 시간이 지날수록 은은하게 스며드는 찐사랑 바이브가 미쳤어요.,차분하면서도 다정한 힐링 그 자체. 자극적인 핫플보다는 우리만 아는 단골 아지트에서 딥한 대화를 나누며 텐션 올리는 스타일이에요.,둘 다 조용히 참는 편이라 가끔은 밀당 천재처럼 솔직한 감정 표현이 필요해요! 서운함은 바로바로 귀엽게 털어내면 케미 폭발 유지 쌉가능!,"재즈 바, 조용한 북카페, 호수공원 산책",2026-03-07 00:02:48
乙丑(을축),甲申(갑신),88,갓생 시너지 커플,섬세한 을축과 든든한 갑신의 만남! 을목이 갑목이라는 든든한 등반로를 만난 ‘등라계갑’ 텐션이라 안정감이 미쳤어요. 갑신의 리더십에 을축의 디테일이 더해지면 세상 무서울 게 없는 무적의 조합! 서로의 부족한 오행 에너지를 꽉 채워주는 상호보완적 텐션 덕분에 함께 있을 때 시너지가 폭발하는 소울메이트 각입니다.,서로의 커리어와 성장을 응원하는 ‘갓생’ 데이트 바이브! 갑신이 큰 그림을 그리면 을축이 현실적인 플랜을 짜는 완벽한 분업 연애가 가능해요. 세련되면서도 깊이 있는 대화가 끊이지 않는 분위기!,"둘 다 에너지가 넘쳐서 가끔 의견이 부딪힐 수 있지만, 이건 서로 더 잘 맞아가기 위한 ‘열정 빌드업’일 뿐! 솔직한 대화 한 스푼이면 텐션은 금방 다시 회복되니 걱정 노노!","루프탑 바, 팝업 스토어 투어, 전시회 관람",2026-03-07 00:03:34
乙丑(을축),己丑(기축),82,힐링 꿀조합,초록초록한 을목과 단단한 기토 대지가 만난 '자연친화적 텐션' 그 자체! 같은 '축토'를 공유해서 서로의 속마음을 말 안 해도 다 아는 텔레파시 케미가 폭발해요. 을목의 유연함이 기토의 든든함을 감싸 안으니 안정감이 미쳤다! 서로의 감성을 무한 리필해 주는 소울메이트 각이라 편안함이 남다른 커플입니다.,화려한 파티보다는 우리만의 아지트에서 즐기는 로우파이(Lo-fi) 감성! 은근한 밀당보다는 서로의 일상을 공유하며 소확행을 쌓아가는 몽글몽글한 데이트 바이브가 특징이에요.,"가끔 둘 다 고집 있는 '황소 텐션'이 발동할 수 있지만, 이건 서로를 너무 아끼는 마음의 표현! 먼저 '미안' 한마디면 사르르 녹는 무해한 관계이니 솔직한 대화로 시너지를 높여봐요.","LP 바, 캠핑 불멍, 심야 영화 정주행",2026-03-07 00:04:16
乙丑(을축),甲午(갑오),92,갓벽 성장형 커플,"차분한 을축과 에너제틱한 갑오의 만남! 차가운 흙을 품은 을축을 갑오의 뜨거운 태양 같은 에너지가 따뜻하게 녹여주는 '온도 조절 케미'가 미쳤어요. 서로의 오행이 부족한 부분을 갓벽하게 채워주는 상호보완 텐션이라, 함께 있으면 운빨까지 상승하는 시너지 폭발 소울메이트 각입니다!",갑오의 리드에 을축이 디테일을 더하는 갓생 데이트 바이브! 힙한 핫플레이스를 섭렵하면서도 서로의 속마음을 깊게 공유하는 밀도 높은 연애 스타일이에요.,"가끔 갑오의 급발진 텐션에 을축이 당황할 수 있지만, 이건 서로의 온도 차를 맞추는 짜릿한 과정일 뿐! 서로의 페이스를 존중해주면 관계의 완성도가 200% 상승해요.","테니스 데이트, 와인 바 투어, 일몰 감상",2026-03-07 00:04:58
乙丑(을축),己亥(기해),85,극강 힐링 케미,촉촉한 대지 기해와 단단한 땅 위 꽃 을축의 만남! 기해의 깊은 수기운이 을축의 뿌리를 촉촉하게 적셔주니 정서적 안정감이 미쳤어요. 서로의 결을 잘 이해하는 '결 메이트'라 함께 있으면 세상 편안한 무드 형성! 은은하게 스며드는 텐션 덕분에 시간이 갈수록 시너지가 폭발하는 찐사랑 세계관입니다.,차분하고 감성적인 로파이(Lo-fi) 바이브! 시끌벅적한 곳보다 우리만의 취향이 묻어나는 공간에서 딥토크를 나누며 힐링하는 안정적인 데이트 스타일이에요.,둘 다 속마음을 꽁꽁 숨기는 '신비주의 텐션'이 생길 수 있으니 주의! 표현을 한 스푼만 더 얹어주면 서로의 진심을 확인하는 속도가 5G급으로 빨라져 관계가 더 갓벽해질 거예요.,"북카페 데이트, 재즈 바 투어, 호캉스",2026-03-07 00:05:47
乙丑(을축),甲辰(갑진),95,등라계갑 케미,"섬세한 꽃 을축이 든든한 거목 갑진을 만난 '운명적 텐션' 그 자체! 갑진의 넓은 대지와 강한 기운이 을축을 꽉 잡아주니 안정감이 미쳤어요. 서로 같은 나무 기운을 공유하면서도 스케일이 달라, 함께 있으면 세상을 다 가진 듯한 시너지가 폭발하는 찐사랑 세계관입니다.",갑진이 힙한 데이트 코스를 리드하면 을축이 감성 한 스푼을 더하는 갓벽한 밸런스! 서로의 성장을 응원하는 '갓생' 커플 바이브가 낭낭해요.,"둘 다 뿌리가 깊어 가끔 고집 텐션이 올라올 수 있지만, 이건 서로를 향한 '진심 100%'의 표현! 솔직한 대화로 한 번만 맞춰주면 유대감이 200% 상승하는 성장형 커플이에요.","루프탑 카페, 테니스 데이트, 성수동 팝업",2026-03-07 00:06:30
乙丑(을축),己酉(기유),94,찰떡 합체 케미,"섬세한 을축과 쿨한 기유의 만남은 그야말로 시너지 미쳤다! 서로의 지지가 '축유 합'으로 묶이는 찐사랑 세계관이라, 한 번 스파크 튀면 절대 안 떨어지는 접착제 텐션이에요. 을목의 감성을 기유의 깔끔한 에너지가 갓벽하게 서포트해 주니 함께 있을 때 안심 지수 200% 폭발하는 소울메이트 각입니다.",세련되고 힙한 무드가 낭낭한 데이트 바이브! 말하지 않아도 통하는 텔레파시 덕분에 서로의 취향을 저격하는 센스 있는 선물이 오가는 고퀄리티 연애 스타일이에요.,"둘 다 완벽주의 텐션이 있어서 가끔 서로에게 엄격해질 수 있지만, 이건 더 좋은 관계를 위한 빌드업! 서로의 빈틈을 귀여워해 주는 마음만 챙기면 갓벽한 커플 확정입니다.","와인 바 투어, 편집숍 쇼핑, 전시회 관람",2026-03-07 00:07:07
乙丑(을축),甲寅(갑인),91,등라계갑 케미,"섬세한 꽃 을축이 든든한 거목 갑인을 만나 기댈 곳을 찾은 운명적 텐션! 갑인의 파워풀한 에너지가 을축의 고민을 싹 해결해주고, 을축은 갑인의 거친 면을 부드럽게 감싸주니 시너지 미쳤다! 서로의 존재가 성장의 발판이 되는 '성공 가드닝' 세계관이라 함께할수록 운빨까지 터지는 소울메이트 각입니다.",갑인이 힙한 핫플로 리드하고 을축이 감성 사진을 남겨주는 갓벽한 밸런스! 서로의 커리어를 응원하며 함께 '갓생' 사는 멋진 어른 연애 바이브가 낭낭해요.,"가끔 갑인의 직진 본능이 을축에게 부담될 수 있지만, 이건 서로를 너무 아끼는 마음의 표현! '나만의 시간'을 살짝만 존중해주면 텐션 유지 쌉가능입니다.","숲뷰 카페 투어, 도자기 공방, 야간 드라이브",2026-03-07 00:07:49
乙丑(을축),己未(기미),78,성장형 커플,"차가운 대지의 꽃 을축과 따뜻한 흙 기미가 만난 반전 매력 텐션! 서로 다른 온도의 에너지가 만나 새로운 세계관을 확장하는 중이에요. 을축의 섬세함을 기미의 포용력이 감싸주니, 알면 알수록 서로에게 스며드는 속도가 장난 아님! 서로의 다름이 오히려 짜릿한 자극이 되어 연애 세포를 깨우는 시너지 미쳤다!",서로의 다름을 탐구하는 호기심 천국 바이브! 한 명은 차분하고 한 명은 열정적이라 데이트마다 예상치 못한 재미가 팡팡 터져요. 티격태격해도 그게 다 애정 표현인 밀당 천재들의 연애!,가끔 고집 텐션이 올라올 땐 '먼저 웃어주기' 미션! 서로의 스타일을 쿨하게 리스펙해 주면 더 단단해지는 찐사랑 각이니 유연함 한 스푼만 챙겨보세요.,"이색 체험 원데이 클래스, 루프탑 바, 페스티벌 투어",2026-03-07 00:08:32
丙寅(병인),甲子(갑자),92,갓생 시너지 커플,밝게 타오르는 태양(병인)과 이를 쑥쑥 키워주는 든든한 나무(갑자)의 만남! 갑자의 차분한 지혜가 병인의 열정을 서포트해주니 서로가 서로의 운명을 레벨업해주는 '성장형 폼' 미쳤다... 자극과 안정의 밸런스가 완벽해서 같이 있으면 세상 무서울 게 없는 무적의 텐션 세계관 완성!,서로의 목표를 응원하며 함께 나아가는 파워 당당 스타일! 화려한 핫플 데이트부터 깊이 있는 대화까지 스펙트럼이 넓어요. 같이 있을 때 자존감이 수직 상승하는 힐링 바이브 그 자체!,둘 다 에너지가 넘쳐서 가끔은 속도 조절이 필요할지도? 서로의 독립적인 시간만 쿨하게 존중해준다면 더 끈끈해지는 '자유 영혼' 케미를 유지할 수 있어요!,"팝업 스토어 투어, 야경 드라이브, 독서 모임",2026-03-07 00:09:16
丙寅(병인),己巳(기사),88,풀파티 케미,태양 같은 병인과 열정 넘치는 기사가 만났으니 텐션 세계관 최강자 등장! 뜨거운 화(火) 에너지가 서로를 밀어주고 당겨주는 시너지가 미쳤다... 서로의 열정을 알아봐 주는 소울메이트 각이라 같이 있으면 세상이 다 내 것 같은 무적의 에너지가 뿜뿜해요. 럭키 비키한 긍정 파워가 폭발하는 중!,어딜 가나 주인공이 되는 화려한 바이브! 같이 힙한 전시회를 가거나 틱톡 챌린지를 찍어도 합이 딱딱 맞는 환상의 짝꿍이에요. 지루할 틈 없는 도파민 파티 그 자체!,둘 다 에너지가 핫해서 가끔은 쿨링 타임이 필요할지도? 서로의 속도에 맞춰 천천히 걷는 산책 시간을 가지면 더 갓벽한 찐사랑 완성!,"루프탑 바, 페스티벌, 테마파크",2026-03-07 00:09:58
丙寅(병인),甲戌(갑술),95,불꽃 시너지,활활 타오르는 태양(병인)과 이를 든든하게 지켜주는 큰 나무(갑술)의 만남! 오행 에너지가 서로를 윈윈해주는 조합이라 시너지가 진짜 미쳤다... 서로가 서로에게 영감을 주는 뮤즈 같은 존재라 같이 있으면 세상 모든 도파민이 폭발하는 운명적 텐션 세계관 완성!,어딜 가나 주인공이 되는 핫플 도장깨기 스타일! 서로의 열정을 리스펙트하며 함께 성장하는 바이브가 갓벽해요. 쿨하면서도 뜨거운 찐사랑 그 자체!,둘 다 에너지가 너무 힙해서 가끔 과열될 수 있음! 가끔은 넷플릭스 보며 릴렉스하는 시간만 챙겨주면 더 완벽한 소울메이트 각!,"락 페스티벌, 야간 드라이브, 팝업 스토어",2026-03-07 00:10:45
丙寅(병인),己卯(기묘),82,햇살 숲 케미,뜨거운 태양 병인과 보들보들한 대지 기묘의 만남! 병인의 무한 에너지를 기묘가 다정하게 받아주니 안정감 미쳤다... 서로의 부족한 부분을 채워주는 상호보완 텐션이라 같이 있으면 자존감 수직 상승하는 소울메이트 각! 따뜻한 햇살 아래 쑥쑥 자라는 숲처럼 시너지가 폭발하는 중이에요.,몽글몽글하고 다정한 힐링 바이브! 병인이 텐션을 끌어올리면 기묘가 섬세하게 반응해주는 환상의 티키타카가 특징이에요. 보고만 있어도 배부른 갓벽한 커플 사진 재질!,병인의 불꽃 직진에 기묘가 가끔 놀랄 수 있음! 서로의 속도 차이를 '밀당 천재' 모드로 즐기며 천천히 맞춰가면 찐사랑 지수 200% 달성!,"식물원 카페, LP바 청음, 한강 피크닉",2026-03-07 00:11:25
丙寅(병인),甲申(갑신),78,다이나믹 케미,불꽃 열정 병인과 힙한 에너자이저 갑신의 만남! 서로 다른 반전 매력이 부딪히며 도파민이 폭발하는 성장형 케미예요. 때로는 스파크가 튀기도 하지만 그만큼 서로의 세계관을 넓혀주는 자극제 같은 존재! 서로의 폼을 미친 듯이 끌어올려 주는 텐션 덕분에 절대 지루할 틈 없는 찐사랑 각입니다.,예측 불가능한 롤러코스터 같은 바이브! 갑자기 떠나는 여행이나 핫플 웨이팅도 축제처럼 즐기는 파워 인싸 커플이에요. 같이 있으면 텐션 시너지가 우주 끝까지 상승!,각자의 곤조가 확실해서 '밀당 천재' 모드가 필요할 때가 있어요! 서로의 추진력을 리스펙트하며 한 발짝씩 양보하는 쿨한 매너만 챙기면 갓벽한 소울메이트 등극!,"액티비티 체험, 락 페스티벌, 무계획 드라이브",2026-03-07 00:12:15
丙寅(병인),己丑(기축),85,단짠단짠 케미,뜨거운 태양 병인의 에너지를 기축의 포근한 대지가 갓벽하게 품어주는 상호보완 텐션! 병인의 폭발하는 열정을 기축이 차분하게 정리해 주니 안정감 미쳤다... 서로 다른 결의 에너지가 만나 새로운 세계관을 확장하는 성장형 커플의 정석이에요. 은근히 서로에게 스며드는 찐사랑 바이브가 폭발 중!,화려한 핫플 데이트와 아늑한 집콕 데이트가 공존하는 믹스매치 스타일! 병인이 텐션을 끌어올리면 기묘가 갓벽하게 리액션해 주는 티키타카가 예술이에요.,병인의 속도감과 기축의 신중함이 부딪힐 땐 '밀당 천재' 모드 발동! 서로의 템포 차이를 새로운 자극으로 즐기면 시너지가 우주 끝까지 상승해요.,"심야 영화 정주행, 오마카세 투어, 도자기 공방",2026-03-07 00:12:52
丙寅(병인),甲午(갑오),98,불꽃 케미,태양 같은 병인과 에너자이저 갑오가 만났다? 이건 그냥 도파민 파티 각! 서로를 무한으로 키워주는 오행 상생 덕분에 같이 있으면 텐션이 우주 뚫고 나가요. 서로의 열정에 기름을 붓는 격이라 시너지가 진짜 미쳤다... 2026년 역대급 핫한 커플 랭킹 1위 찍을 기세!,어딜 가나 시선 강탈하는 주인공 바이브! 둘 다 추진력 대박이라 무계획 여행도 갓생 살듯 즐기는 힙한 스타일이에요. 매 순간이 페스티벌 같은 텐션 세계관!,가끔 에너지가 너무 과열되어 ‘열정 과다’가 될 수 있어요! 서로 쿨링 타임만 살짝 챙겨주면 롱런하는 찐사랑 완성!,"락 페스티벌, 야간 드라이브, 핫플 도장깨기",2026-03-07 00:13:34
丙寅(병인),己亥(기해),89,자석 케미,불꽃 열정 병인과 촉촉한 대지 기해가 만난 '육합' 텐션! 서로 다른 오행 에너지가 자석처럼 착 붙어서 시너지 미쳤다... 병인의 리더십을 기해가 유연하게 받아주니 안정감 대박이에요. 서로의 부족한 2%를 채워주는 소울메이트 각이라 같이 있을 때 운명적인 폼이 확 살아나는 중!,"낮에는 갓생 사는 파워 인싸, 밤에는 딥한 대화 나누는 감성 커플! 병인이 데이트 코스 짜오면 기해가 찰떡 리액션 해주는 환상의 티키타카 바이브예요.",가끔 병인의 불꽃 직진에 기해가 살짝 침묵할 수 있음! 그럴 땐 '밀당 천재' 모드로 한 템포만 쉬어주면 찐사랑 농도 200% 달성!,"심야 드라이브, LP바 투어, 재즈 페스티벌",2026-03-07 00:14:19
