card_name,card_en,position,한줄_키워드,해설_텍스트,어드바이스,럭키_에너지,생성시각
완드 에이스,Ace of Wands,정위치,갓생 스타트,"유니버스가 당신에게 던지는 강력한 도파민 시그널! 지금 당신의 손에 쥐어진 건 단순한 나무 막대기가 아니라, 세상을 뒤집어놓을 열정의 발화점이에요. 새로운 프로젝트나 사랑, 혹은 잊고 있던 꿈에 불이 붙는 역대급 바이브가 느껴지나요? 망설임은 시성비만 낭비할 뿐, 당신의 직관이 가리키는 그 방향이 정답이에요.","생각만 하던 리스트 중 하나를 오늘 바로 실행해보세요. 완벽하지 않아도 괜찮아요, 일단 저지르는 게 가장 힙한 셀프러브니까요!","오렌지, 타오르는 불꽃",2026-03-07 14:16:30
컵 기사,Knight of Cups,역위치,감성 리셋 중,"지금은 외부의 칭찬보다 내 안의 목소리에 볼륨을 높일 타임! 컵 기사가 거꾸로 나타난 건, 유니버스가 당신에게 '잠시 멈춰서 셀프러브 바이브를 체크해봐'라고 보내는 다정한 시그널이에요. 감정의 파도에 휩쓸리기보다 나만의 안전한 섬에서 에너지를 리딩하며 내면의 갓생을 설계해 보세요. 이건 정체가 아니라 더 쿨해지기 위한 쿨다운 기간이니까요.",남의 시선은 잠시 비행기 모드! 좋아하는 플레이리스트와 함께 혼자만의 시성비 좋은 카페 투어를 즐겨보세요.,"라벤더, 고요한 평온함",2026-03-07 14:18:01
완드 2,2 of Wands,역위치,딥 리프레시,지금은 밖으로 에너지를 쏘기보다 나만의 내면 동굴에서 '갓생' 빌드업을 할 타이밍이야! 역위치 완드 2는 유니버스가 보내는 강력한 '쉼표' 시그널이거든. 확장이 조금 더뎌 보여도 그건 실패가 아니라 더 큰 바이브를 담기 위한 그릇을 키우는 중인 거야. 남들의 속도에 맞추지 말고 너만의 리듬으로 에너지를 리딩해 봐.,계획은 잠시 홀딩! 오늘은 오직 나만을 위한 셀프러브 타임을 가져봐. 가장 편안한 장소에서 좋아하는 향기를 맡으며 마음의 근육을 키우는 게 정답이야.,"인디고 블루, 정적인 평온함",2026-03-07 14:20:40
죽음,Death,역위치,뉴 챕터 커밍,"이 카드는 공포가 아니라, 유니버스가 너에게 보내는 강력한 '비워내기' 시그널이야! 과거의 집착이나 미련은 던져버리고 새로운 바이브를 채울 공간을 만들라는 뜻이지. 지금의 정체기는 더 높은 텐션으로 도약하기 위한 빌드업 과정일 뿐이야. 낡은 루틴을 리셋하고 진정한 셀프러브를 실천할 때 비로소 폼 미친 변화가 시작될 거야.",과거의 SNS 게시물이나 메일함을 정리하며 마음의 불필요한 데이터를 삭제해 봐. 가벼워진 에너지 리딩이 새로운 행운을 불러올 거야.,"화이트, 해방감",2026-03-07 14:21:07
완드 6,6 of Wands,역위치,주인공은 나,"남들의 ‘좋아요’ 숫자에 내 가치를 가두지 마세요. 지금 완드 6 역위치가 떴다는 건, 외부의 박수갈채보다 내 안의 목소리에 집중해야 할 리셋 타임이라는 시그널! 화려한 피드 뒤에 숨겨진 진짜 내 감정을 보살펴줄 때예요. 타인의 시선에서 자유로워지는 순간, 당신의 바이브는 더 힙하게 살아날 거예요. 유니버스는 지금 당신의 '셀프러브'를 기다리고 있어요.","디지털 디톡스 어때요? SNS 알림은 잠시 끄고, 내가 진짜 좋아하는 음악을 들으며 나만의 속도로 걸어보세요. 그게 바로 진짜 스웨그니까.",벨벳 퍼플,2026-03-07 14:32:28
태양,The Sun,정위치,갓벽한 확신,지금 너의 바이브는 온 우주가 조명을 비춰주는 주인공 그 자체! 무지개 필터를 씌운 듯 모든 상황이 클리어하게 보이고 있어. 유니버스가 보내는 'Yes'라는 강력한 시그널이니까 고민은 사치야. 숨기려 해도 뿜어져 나오는 너의 건강한 에너지가 주변 사람들까지 럭키비키하게 만드는 중! 셀프러브 수치 풀충전된 오늘을 마음껏 즐겨봐.,가장 밝은 미소로 거울 셀카 한 장 남기기! 네가 가진 밝은 에너지를 세상에 아낌없이 표현할 때 행운은 더 크게 돌아올 거야.,"선플라워 옐로우, 생동감",2026-03-07 14:34:53
컵 에이스,에이스 of 컵,역위치,감정 리셋 타임,"지금 컵이 살짝 기울어진 건 에너지가 부족해서가 아니라, 더 맑은 물을 채우기 위한 '비움'의 과정이야! 유니버스가 보내는 '잠시 멈춤' 시그널을 즐겨봐. 밖으로 향하던 감정의 화살표를 내면으로 돌려 셀프러브 바이브를 충전할 타이밍이지. 억지로 채우려 하지 않아도 괜찮아. 비워진 만큼 더 힙하고 투명한 감정들이 곧 차오를 테니까!",플레이리스트를 바꾸고 나만의 공간에서 혼자만의 시성비를 즐겨봐. 명상이나 일기로 마음의 먼지를 털어내면 럭키비키한 새 기운이 찾아올 거야.,"파스텔 블루, 평온함",2026-03-07 14:35:56
소드 여왕,Queen of Swords,정위치,갓벽한 갓생,"지금 유니버스가 보내는 시그널은 명확해! 소드 여왕은 흐릿한 감정을 걷어내고 가장 쿨한 나를 만나는 에너지 리딩이야. 지적인 카리스마와 칼 같은 결단력이 정점을 찍는 시기라 네가 정한 바운더리 안에서 누구보다 힙한 존재감을 드러낼 수 있어. 타인의 시선보다 셀프러브에 집중하는 너의 바이브, 지금 완전 폼 미쳤다!","복잡한 고민은 잠시 로그아웃하고, 팩트에만 집중해 봐. 네 직관을 믿고 솔직하게 NO라고 말하는 순간, 진짜 자유로운 럭키비키가 시작될 거야.","크리스탈 실버, 냉철한 직관",2026-03-07 14:44:57
완드 4,4 of 완드,역위치,홈 스윗 홈 리셋,"완드 4 역위치는 유니버스가 보내는 '잠시 멈춤' 시그널이야! 파티가 끝난 게 아니라, 더 힙한 다음 스테이지를 위해 내면의 바이브를 점검하는 소중한 타임이지. 밖으로 보여주는 행복보다 내 마음속 평화가 더 중요하다는 에너지 리딩이 들어왔어. 지금은 남들의 시선보다 나만의 아지트에서 즐기는 셀프러브가 필요한 타이밍! 억지로 텐션 올릴 필요 없어, 이 정적조차 너에겐 갓벽한 휴식이 될 테니까.",오늘 하루는 SNS 알림 끄고 오직 나만을 위한 홈캉스 어때? 가장 편안한 옷을 입고 좋아하는 향초를 켜봐. 내면의 에너지가 다시 풀충전될 거야.,"웜 베이지, 편안함",2026-03-07 14:48:25
세계,The World,정위치,갓벽한 엔딩,"축하해! 드디어 네가 공들여 온 챕터가 완벽한 마침표를 찍었어. 이건 단순한 성공을 넘어선 ‘완성’의 바이브야. 유니버스가 너를 향해 스탠딩 오베이션을 보내는 중! 네 영혼이 가장 높은 주파수에서 춤추고 있는 이 순간을 마음껏 즐겨봐. 이제 너의 세계는 확장될 준비가 끝났고, 그 어떤 경계도 너를 막을 수 없어. 갓생 그 자체인 네 에너지를 믿어봐.","지금 이 성취감을 온몸으로 만끽하며 셀프러브를 실천해 봐. 마침표는 곧 새로운 시작이니까, 다음 레벨의 나를 위해 기분 좋은 루틴을 설계해 볼 것!",무지개빛 아우라,2026-03-07 14:51:20
완드 7,7 of Wands,역위치,가벼운 내려놓기,방어 태세는 이제 Off! 혼자서 모든 걸 짊어지던 갓생 모드에서 잠시 내려와도 괜찮아. 완드 7 역위치는 유니버스가 보내는 '릴랙스 시그널'이야. 굳이 싸워서 증명하지 않아도 너의 가치는 이미 충분하니까. 뾰족했던 에너지를 나를 향한 셀프러브로 돌려봐. 버거웠던 압박감은 사라지고 새로운 여유의 바이브가 채워질 거야.,모든 DM에 즉답할 필요는 없어. 오늘은 '거절할 용기'를 장착하고 오직 너만의 평화로운 주파수에 집중해 봐.,"파스텔 블루, 유연함",2026-03-07 14:55:47
펜타클 시종,Page of Pentacles,정위치,갓생 스타터,"새로운 기회의 씨앗을 손에 쥐었네! 지금 네 손에 들어온 작은 소식이나 아이디어는 미래의 잭팟을 위한 유니버스의 시그널이야. 펜타클 시종의 바이브는 성실함마저 힙하게 만드는 힘이 있어. 지금 하는 공부나 부업, 소소한 재테크가 조만간 너의 커리어 폼을 미치게 끌어올려 줄 거야. 셀프러브의 마음으로 차근차근 네 가치를 빌드업해 봐!",작은 습관부터 루틴화해 봐. 오늘 시작하는 10분의 투자가 미래의 너를 럭키비키하게 만들 치트키가 될 거야.,"에메랄드 그린, 설렘",2026-03-07 14:57:19
연인,The Lovers,역위치,셀프 리셋 타임,관계의 불협화음? 놉! 이건 유니버스가 보낸 ‘나에게 집중하라’는 강력한 시그널이야. 밖으로 쏠렸던 에너지가 내면으로 리턴되는 시기거든. 타인에게 맞추느라 희미해진 내 바이브를 다시 선명하게 커스텀해 봐. 지금의 어긋남은 더 갓벽한 소울 커넥션을 위한 로딩 중일 뿐! 타인의 시선은 끄고 나만의 주파수를 맞추는 과정이 필요해.,남의 피드 보며 비교는 금물! 오늘은 폰 끄고 온전히 나만을 위한 ‘셀프러브’ 루틴을 실천해 봐. 내 마음의 소리에 ‘좋아요’를 눌러줄 때야.,네온 핑크 / 에어 바이브,2026-03-07 14:59:20
소드 8,8 of Swords,역위치,속박 탈출,눈을 가렸던 안대가 풀리고 앞이 탁 트이는 리셋 타임! 스스로를 가뒀던 생각의 감옥에서 벗어나 자유로운 바이브를 되찾을 때예요. 유니버스가 보내는 시그널은 명확해요. '넌 이제 충분히 준비됐어.' 두려움이라는 필터를 제거하고 나면 당신의 에너지는 거침없이 흐를 거예요. 이제 갓생 모드로 전환하고 당당하게 나만의 길을 걸어갈 차례!,과거의 나쁜 습관이나 관계에 '안녕'을 고하세요. 오늘은 오직 나만을 위한 셀프러브에 집중하며 새로운 도전을 시작할 최적의 타이밍입니다.,"스카이블루, 해방감",2026-03-07 15:02:04
완드 4,4 of Wands,정위치,축제 바이브,"지금 당신의 필드에 꽃가루가 날리고 있어요! 완드 4는 그동안 치열하게 달려온 당신에게 유니버스가 보내는 '홈파티 초대장' 같은 카드예요. 불안은 Off, 성취감은 On! 평화롭고 안락한 에너지가 꽉 찬 상태라 누구와 함께해도 무해하고 행복한 시기죠. 지금 이 완벽한 밸런스를 즐겨보세요. 당신은 축하받을 자격이 충분하니까요.",가장 소중한 사람들과 맛있는 걸 먹으며 이 성취를 공유하세요. 스스로에게 '수고했어'라고 말해주는 셀프러브 타임도 필수!,샴페인 골드,2026-03-07 15:14:20
황제,The Emperor,역위치,말랑한 카리스마,"각 잡힌 황제님이 잠깐 왕관을 내려놓은 바이브! 지금 유니버스가 보내는 시그널은 '완벽주의 탈출'이야. 꽉 쥐고 있던 통제권을 살짝 놓아줄 때, 비로소 진짜 힙한 자유가 시작되거든. 뻣뻣한 에너지를 빼고 유연하게 흐르는 법을 배우는 리셋 타임이니까, 남의 시선 신경 끄고 오직 나만의 속도에 집중해 봐. 갓생도 가끔은 힘을 빼야 더 폼 미치게 굴러가는 법!",계획표 다 지우고 1시간 동안 아무 생각 없이 멍 때리기. 셀프러브를 위해 내 마음의 고집부터 녹여보는 건 어때? 오늘은 유연함이 곧 필승 전략이야.,"소프트 핑크, 유연함",2026-03-07 15:40:37
소드 3,3 of Swords,역위치,마음의 리셋,"그동안 마음을 무겁게 했던 낮은 주파수의 감정들이 드디어 디톡스되는 타이밍이야. 소드 3 역위치는 아픈 기억을 삭제하고 새로운 바이브로 갈아타는 강력한 시그널이지. 유니버스가 너에게 준 이 힐링 타임을 온전히 즐겨봐. 상처는 아물고, 네 에너지는 다시 빛나기 시작했어. 이제는 더 단단해진 멘탈로 갓생 살 준비 완료!",과거의 카톡이나 사진은 정리하고 셀프러브를 위한 시간을 가져봐. 네 마음이 편해지는 플레이리스트와 함께 깊은 휴식을 취하면 에너지 리딩이 훨씬 맑아질 거야.,"파스텔 핑크, 정화",2026-03-07 18:19:48
펜타클 7,7 of Pentacles,정위치,갓생 중간점검,"지금까지 달려온 너의 에너지가 현실의 열매로 맺히기 직전! 유니버스가 보내는 잠시 멈춤 시그널이야. '나 잘하고 있나?'라는 의문이 든다면 그건 불안이 아니라 더 큰 도파민을 위한 빌드업인 거 알지? 공들인 펜타클들을 바라보며 수확의 시기를 고르는 너의 모습, 이미 결과값은 럭키비키 그 자체야. 조급함은 던져버리고 네가 일궈온 바이브를 믿어봐.",오늘 하루는 결과물에 집착하기보다 시성비 좋게 '셀프러브' 타임을 가져봐. 맛있는 커피 한 잔과 함께 지금까지의 성장을 셀프 칭찬해주면 긍정 에너지가 풀충전될 거야.,"포레스트 그린, 인내심",2026-03-07 18:24:10
완드 3,3 of Wands,정위치,갓생 확장판,"지금 너의 바이브는 이미 로컬을 넘어 유니버스로 뻗어 나가는 중! 완드 3은 네가 세운 계획들이 본격적으로 항해를 시작했다는 시그널이야. 저 멀리 수평선을 바라보는 주인공처럼, 너의 시야는 이미 다음 레벨을 향해 있지? 지금까지 쌓아온 에너지가 큰 물결을 타고 돌아올 준비를 마쳤어. 망설이지 마, 지금 네가 보고 있는 그 넓은 세계관이 곧 너의 현실이 될 테니까!",오늘 하루는 시성비 따지지 말고 더 큰 그림을 그려봐. 네 꿈에 제한을 두지 않는 '셀프러브'가 필요해. 새로운 협업이나 제안이 온다면 럭키비키하게 OK 하기!,"오렌지 골드, 모험심",2026-03-07 18:26:40
완드 8,8 of Wands,역위치,속도 조절 중,"너무 앞서가던 에너지를 잠시 멈추라는 유니버스의 시그널! 역위치 완드 8은 혼란이 아니라, 갓생을 위해 숨을 고르는 '포즈(Pause) 버튼'이야. 지금은 메시지를 연달아 보내기보다 내 바이브를 먼저 챙길 때. 급하게 휘몰아치던 흐름이 잠잠해지면서 진짜 중요한 게 뭔지 보이는 마법 같은 구간이야. 이건 정체가 아니라 더 완벽한 착지를 위한 리셋 타임이지!",비행기 모드 켜고 셀프러브에 집중해 봐. 억지로 밀어붙이기보다 자연스럽게 흘러가게 두는 게 오늘의 정답! 에너지를 아껴두면 더 큰 기회가 찾아올 거야.,"스카이 블루, 고요함",2026-03-07 18:27:43
펜타클 여왕,Queen of Pentacles,역위치,셀프 리부트,지금 이 역위치는 유니버스가 너에게 보내는 '쉼표' 시그널이야! 그동안 갓생 사느라 소홀했던 네 마음의 바이브를 체크할 시간이지. 에너지가 조금 소진된 느낌이라면 이건 결핍이 아니라 더 큰 풍요를 채우기 위한 리셋 타임인 거야. 타인에게 쏟던 다정함을 이제는 오롯이 너 자신에게 집중해 봐. 네 안의 럭셔리한 에너지가 다시 차오를 거야.,오늘은 '나'를 위한 시성비 끝판왕 루트를 짜봐. 따뜻한 차 한 잔이나 향기로운 핸드크림으로 셀프러브를 실천하며 소확행 에너지를 충전하는 게 정답!,포근한 바닐라 향,2026-03-07 18:37:18
완드 왕,King of Wands,정위치,갓벽한 리더,"지금 너의 에너지 리딩은 완전 핫해! 완드 왕은 네가 이 구역의 주인공이라는 유니버스가 보내는 시그널이야. 네가 가진 열정과 비전이 주변 사람들의 마음을 움직이는 갓생 바이브가 폭발하고 있어. 넘치는 추진력과 카리스마로 네가 원하는 목표를 향해 직진할 때, 그 폼은 누구도 따라올 수 없지. 오늘 너의 확신은 곧 현실이 될 거야.",네 직관을 믿고 당당하게 앞장서 봐! 네가 '가보자고' 외치면 모두가 따라올 거야. 리더십 넘치는 셀프러브로 오늘 하루를 지배해 봐.,"강렬한 오렌지, 불꽃",2026-03-07 18:38:20
펜타클 10,10 of Pentacles,정위치,갓생의 완성,"유니버스가 보내는 역대급 풍요의 시그널! 펜타클 10은 네 삶에 꽉 찬 '안정감 바이브'가 찾아왔음을 의미해. 단순히 돈이 많은 걸 넘어, 너를 지지해주는 사람들과의 갓벽한 케미, 그리고 네 노력이 결실을 맺는 폼 미친 순간이지. 정서적·물질적 충만함이 풀충전된 상태라 가족이나 크루들과 행복을 나누기만 하면 돼. 이 에너지는 완전 럭키비키잖아!",주변 사람들에게 셀프러브를 전파하며 맛있는 걸 대접해봐. 네가 쌓아온 루틴과 가치를 믿고 지금의 여유를 맘껏 누리는 게 오늘의 미션이야.,"골드, 소속감",2026-03-07 18:40:14
소드 9,9 of Swords,정위치,갓생 리부트,"새벽 3시의 복잡한 머릿속? 그건 네가 더 높이 비상하기 전, 유니버스가 보내는 정교한 '업데이트 시그널'이야! 지금의 불안 바이브는 사실 네 영혼이 갓생을 위해 세심하게 설계 중이라는 증거지. 밤이 깊을수록 별이 빛나듯, 이 에너지는 곧 네가 원하는 추구미를 완성할 역대급 영감으로 변할 거야. 넌 충분히 잘하고 있어!",스마트폰 내려놓고 따뜻한 차 한 잔으로 셀프러브 타임! 불안은 삭제하고 숙면으로 에너지를 풀충전해 봐.,"인디고 블루, 숙면",2026-03-07 18:46:28
펜타클 5,5 of 펜타클,역위치,역대급 리셋,텅 빈 통장이나 공허한 마음은 이제 안녕! 펜타클 5 역위치는 유니버스가 보내는 강력한 회복 시그널이야. 그동안 춥고 외로웠던 바이브에서 벗어나 따뜻한 실내로 입장하는 티켓을 얻은 셈이지. 에너지가 바닥이었다면 이제부터는 채워질 일만 남았어. 이건 단순한 행운이 아니라 네가 버텨온 시간에 대한 보상이야. 럭키비키한 변화가 시작되고 있어!,"혼자 끙끙대지 말고 주변에 도움을 요청해 봐. 셀프러브를 실천하며 나를 위한 작은 사치를 허락하는 순간, 풍요로운 에너지 리딩이 시작될 거야.","골드, 안도감",2026-03-07 18:49:54
펜타클 여왕,Queen of Pentacles,정위치,풍요의 갓생퀸,"유니버스가 보내는 시그널! 지금 네 바이브는 황금빛 펜타클처럼 단단하고 럭셔리해. 마음의 여유와 실질적인 풍요가 공존하는 폼 미친 상태지. 게자리와 땅의 에너지가 믹스되어 네 주변을 따뜻하게 케어하면서도, 네 몫의 결실은 확실히 챙기는 영리한 셀프러브가 돋보이는 중이야. 너 자체가 이미 완벽한 브랜드이자 안식처라는 걸 잊지 마!",나를 위한 작은 사치를 허락해 봐. 고급스러운 티타임이나 공간 정돈으로 네 에너지 리딩을 최상으로 끌어올리는 게 오늘의 럭키 포인트!,"에메랄드 그린, 안정감",2026-03-07 19:06:22
완드 시종,Page of Wands,정위치,열정 스타터,"심장 박동 텐션 업! 유니버스가 너에게 '지금 바로 고(Go)!'라는 시그널을 보내고 있어. 불의 원소가 가진 순수한 에너지가 네 영혼을 터치하니, 새로운 프로젝트나 덕질을 시작하기 딱 좋은 바이브야. 아직 서툴러도 괜찮아. 그 풋풋한 모험가적 에너지가 오히려 주변 사람들의 마음을 뺏는 킬포가 될 테니까. 너의 무한한 가능성을 믿고 셀프러브를 실천할 시간!",계획만 세우는 건 이제 그만! 오늘 떠오른 그 아이디어를 바로 인스타 스토리에 공유하거나 첫 발을 떼는 액션을 보여줘.,"선플라워 옐로우, 호기심",2026-03-07 19:07:20
